=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 01/09/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
01/09/26       BBVA          PUT   Jun-27             23,00   1.000              1.160           
01/09/26       INDITEX       PUT   Sep-26             58,05   501                500             
01/09/26       MINI IBEX-35  PUT   Dic-26             18.000  500                513             
01/09/26       INDITEX       CALL  Sep-26             58,05   500                517             
01/09/26       MELIA HOTELS  PUT   Sep-26             10,50   400                50              
01/09/26       IAG           CALL  Mar-27             5,50    150                275             
01/09/26       MINI IBEX-35  PUT   Oct-26             16.500  110                121             
01/09/26       IBERDROLA     PUT   Sep-26             20,00   101                5.217           
01/09/26       BBVA          CALL  Sep-26             25,50   100                103             
01/09/26       ACCIONA       PUT   Dic-26             175,00  60                 62              
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 02/09/2026 07:42
