==============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 03/09/26
==============================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
03/09/26       IBERDROLA  CALL  Oct-26             22,00   10.801             1.486           
03/09/26       INDITEX    CALL  Oct-26             61,30   5.581              5.945           
03/09/26       REPSOL     PUT   Dic-26             26,00   5.000              5.031           
03/09/26       SANTANDER  PUT   Jun-27             8,50    5.000              5.000           
03/09/26       IAG        CALL  Dic-27             5,75    4.000              4.000           
03/09/26       IAG        PUT   Dic-27             4,90    4.000              4.001           
03/09/26       IBERDROLA  PUT   Sep-26             19,50   3.011              6.586           
03/09/26       SOLARIA    PUT   Sep-26             16,00   1.368              1.373           
03/09/26       IBERDROLA  CALL  Dic-27             20,00   700                13.910          
03/09/26       GRIFOLS    PUT   Dic-26             8,50    300                757             
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
Generado: 04/09/2026 07:47
