==============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 07/09/26
==============================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
07/09/26       SANTANDER  PUT   Dic-26             12,00   10.000             10.246          
07/09/26       SANTANDER  CALL  Oct-26             14,00   9.192              48.139          
07/09/26       SANTANDER  CALL  Sep-26             13,50   9.000              9.000           
07/09/26       SANTANDER  CALL  Dic-26             13,00   5.000              21.016          
07/09/26       SANTANDER  PUT   Dic-26             13,00   5.000              5.018           
07/09/26       SANTANDER  CALL  Oct-26             13,50   4.596              4.596           
07/09/26       IBERDROLA  CALL  Oct-26             21,00   4.082              4.082           
07/09/26       BBVA       CALL  Oct-26             27,00   3.418              10.426          
07/09/26       REPSOL     CALL  Mar-28             32,00   3.000              5.000           
07/09/26       IBERDROLA  CALL  Oct-26             20,50   2.041              2.041           
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
Generado: 08/09/2026 07:53
