=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 15/09/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
15/09/26       AENA          PUT   Oct-26             23,00   21.000             301             
15/09/26       TELEFONICA    CALL  Oct-26             3,70    10.000             25.039          
15/09/26       REPSOL        PUT   Oct-26             28,00   4.755              4.016           
15/09/26       MINI IBEX-35  PUT   Dic-26             19.500  4.700              4.713           
15/09/26       MINI IBEX-35  CALL  Dic-26             19.500  4.700              4.704           
15/09/26       REPSOL        CALL  Oct-26             31,00   4.000              2.843           
15/09/26       FERROVIAL     PUT   Sep-26             52,00   996                2.006           
15/09/26       FERROVIAL     CALL  Oct-26             54,00   452                452             
15/09/26       INDITEX       PUT   Mar-27             50,31   300                402             
15/09/26       CELLNEX       PUT   Dic-26             23,00   284                405             
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 16/09/2026 08:21
