====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 28/07/26
====================================================================================================

FECHA_BOLETIN  ACCION           TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------------  ----  -----------------  ------  -----------------  ----------------
28/07/26       SANTANDER        PUT   Mar-28             11,00   20.000             20.175          
28/07/26       SANTANDER        CALL  Dic-26             12,50   15.000             85.902          
28/07/26       SANTANDER        CALL  Mar-28             14,00   10.000             10.000          
28/07/26       SANTANDER        PUT   Ago-26             11,50   541                736             
28/07/26       FERROVIAL        PUT   Sep-26             54,00   500                1.543           
28/07/26       SANTANDER        PUT   Ago-26             12,00   230                270             
28/07/26       REPSOL           CALL  Sep-26             21,00   200                300             
28/07/26       OBRASCON HUARTE  CALL  Mar-27             0,40    200                200             
28/07/26       REDEIA           CALL  Mar-27             17,50   127                137             
28/07/26       OBRASCON HUARTE  CALL  Sep-26             0,40    120                120             
-------------  ---------------  ----  -----------------  ------  -----------------  ----------------
Generado: 29/07/2026 05:53
